"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","ZT0","ZT04","ZT08","ZT12","ZT16","ZT20"
"Lingo4",9.08573215129271e-05,0.0208141303195517,24,15.1552658847512,126.038326171167,54.2131750486536,0.430132458082863,73.1958801105,47.6234102865,112.7699654375,177.062762514,175.68347523,169.8944634485
"Slc15a4",9.08772223610077e-05,0.0208141303195517,24,9.20834708518166,652.529228372583,70.3528461606678,0.107815624345485,606.494543418,672.3476568,729.2041491735,698.29358191,623.183677956,585.651760978
"Oplah",9.33491584629298e-05,0.0208141303195517,24,9.13696285510882,516.172666824417,76.304797251265,0.14782804699967,478.733425104,534.263203626,608.132910982,561.2541284125,478.686753474,435.965579348
"Gm15401",9.34905698407595e-05,0.0208141303195517,24,3.68401469190059e-05,90.17288111575,51.1374809575895,0.567104880368047,142.796103822,105.1692469575,59.072848247,45.589117009,67.1802595635,121.2297110955
"Copg2",9.45194948224204e-05,0.0208141303195517,24,20.9999631598531,818.5743673795,168.58144236348,0.205945176249727,933.3390527925,778.2713571615,659.0283734465,710.649724096,820.049698632,1010.1079981485
"Slc26a1",9.5337749560831e-05,0.0208141303195517,24,9.15096162256459,243.465806746833,33.819355132489,0.138908028130849,223.360052601,248.632843191,286.468468325,263.6311482295,223.7371343475,214.965193787
"Mapre2",9.59154553108466e-05,0.0208141303195517,24,15.8700505167346,1564.27966148683,352.490895179369,0.225337517234181,1367.7052850355,1206.581303157,1470.723037056,1717.967864284,1944.967527648,1677.7329517405
"Lcmt1",9.87396877714097e-05,0.0208141303195517,24,19.9999631598531,817.843757054417,115.98595625841,0.141819210892004,825.7560037935,767.0845502775,684.9186466435,746.8656087185,925.801701231,956.6360316625
"Rab1a",9.92646657324014e-05,0.0208141303195517,24,9.33324763319987,402.902669326917,45.2219596196214,0.112240407081861,364.133327838,407.758732305,451.9963500515,435.354498083,387.069755463,371.103352221
"Hs2st1",9.9520118583607e-05,0.0208141303195517,24,19.9999631598531,1405.909501967,188.191986066966,0.133857823568066,1366.7854014105,1242.097131597,1203.8815098895,1297.6074561655,1640.5749085425,1684.510604197
"Dlg3",9.99974429483075e-05,0.0208141303195517,24,19.9999631598531,475.221170827834,61.3277650107094,0.129050995147957,499.54837065,438.4082390445,402.15489042,457.8323822425,520.565583171,532.817559439
"Mapkapk2",0.000100053188544447,0.0208141303195517,24,9.21355614884715,1514.75075341192,199.603041750382,0.131772861839339,1381.8794488905,1594.0484340315,1730.8798985005,1649.032781743,1394.696355849,1337.967601457
"Sphk2",0.0001006783814822,0.0208141303195517,24,11.2576525494595,443.879093534833,63.9964409461346,0.144175388925166,380.544706071,428.1213326445,498.2366906885,505.9984607895,443.814516165,406.5588548505
"n/a_800",0.000100957066691554,0.0208141303195517,24,9.15499897599113,150.176834621167,27.0970032993536,0.180433975504331,132.443473167,155.8275887595,181.76785136,166.327622176,139.3372702215,125.357202043
"St3gal5",0.000101340200876265,0.0208141303195517,24,8.13558008422138,1529.09318665325,155.99053442663,0.102015060813952,1484.4014094375,1569.9178782495,1704.433392458,1618.2056830465,1461.9776216385,1335.6231350895
"Dnmt3b",0.000101628256113484,0.0208141303195517,24,20.9999631598531,474.845129563083,235.251778291165,0.495428432650506,563.428256256,427.78437795,272.559441916,272.734678841,512.322693885,800.2413285305
"n/a_271",0.000103767403710098,0.0208141303195517,24,19.9999631598531,297.162716662417,50.4164831408678,0.169659517543521,297.06326694,269.515223049,242.8608635105,265.4281670475,341.4613911615,366.647388266
"Foxo3",0.000104636300082062,0.0208141303195517,24,9.37988663957761,2697.68216134925,338.886944491274,0.125621524042617,2518.567884075,2708.820875523,3082.621434634,2957.7390251615,2553.1148256495,2365.2289230525
"Rpl36al",0.000104973929399232,0.0208141303195517,24,9.34550129361937,47.1038481439167,12.2631516619707,0.260342883759794,37.6669677855,47.555612958,60.577268717,56.041546998,43.402105236,37.379587169
"Ints10",0.000106407036734146,0.0208141303195517,24,19.9999647045851,400.04037042275,102.318221088788,0.255769738890755,384.0473061525,341.191539366,283.094829409,331.1045711915,526.0135810215,534.790395396
"Slc18b1",0.000106743446247948,0.0208141303195517,24,20.9999631598531,336.607089034917,94.3953842884673,0.280431955723534,403.945037961,319.5025497255,244.8472043065,275.7105167215,338.3233885005,437.3138369945
"Fam149a",0.000106797155002281,0.0208141303195517,24,20.9999631598531,347.503570306583,79.231882133787,0.228003073648668,369.831113973,316.8123933795,265.8909208065,292.1451806755,384.333387159,456.008425846
"Cgn",0.00010682275944407,0.0208141303195517,24,20.9999631598531,517.129257647917,105.729101982058,0.20445391634376,589.1904104805,489.0155941005,384.2798487235,465.649134981,571.188917139,603.451640463
"Slc44a1",0.000107208656312086,0.0208141303195517,24,19.9999631598531,1828.51468091008,373.214982778722,0.204108277978368,1957.58359974,1641.2754677685,1412.6611851775,1663.7280073275,2070.109226499,2225.730598948
"Neu3",0.000107346824585353,0.0208141303195517,24,20.9999631598531,211.869450261333,64.1667816699117,0.302859999828971,231.128822562,203.840110119,135.378885684,165.647300916,249.7433869245,285.4781953625
"Zfp869",0.000107453068966978,0.0208141303195517,24,9.57445864993282,239.971005268417,27.3623083310553,0.114023393369751,225.473267616,247.0401907875,268.4268281435,262.088682252,225.3395769285,211.457485883
"Csnk1g2",0.000107820623644894,0.0208141303195517,24,9.11655535099844,962.452134918417,134.394891049498,0.139637999827275,898.8855750945,1002.067283649,1121.258318393,1040.202486863,898.014197754,814.284947757
"Mcu",0.000108805960565062,0.0208141303195517,24,20.9999631598531,2600.64741593958,373.45575198755,0.143601070140692,2801.895545556,2587.4672169015,2202.140712153,2296.114118538,2760.715269018,2955.551633471
"Furin",0.000109748187961833,0.0208141303195517,24,9.03413332231277,810.47023225425,132.463083745036,0.163439788993362,705.597222024,868.5035146905,953.485014786,878.021314447,763.570077387,693.644250191
"Chic1",0.00010990706805325,0.0208141303195517,24,20.9999631598531,174.44574532525,53.3858248041475,0.306031108437818,210.397576569,165.7450889325,125.8321752275,137.1368044295,171.5086279005,236.0541988925
"Adarb1",0.00011007789941142,0.0208141303195517,24,12.0245811595494,1786.824903819,381.827585896128,0.213690544093069,1468.301693169,1664.9468355195,1901.5765217035,2227.851150074,1921.3057333365,1536.9674891115
"Wdr35",0.000110250150835434,0.0208141303195517,24,20.9999631598531,172.632618206833,36.1969663586066,0.209676286756183,189.1612848225,173.3615438325,129.329701115,147.422690063,186.619054452,209.901434956
"Cluh",0.000111408305322191,0.0208141303195517,24,9.05648007637547,856.161128743334,125.061452104948,0.146072331371214,774.412086792,889.363295439,1018.251236349,914.056510876,789.846929217,751.036713787
"Mfsd1",0.000111997037225309,0.0208141303195517,24,20.9999631598531,377.540434453167,66.2182656878573,0.175393837705803,416.1036200685,394.9772410695,301.4112037025,326.2226204185,387.2200695285,439.3078519315
"Adprh",0.000112991914406724,0.0208141303195517,24,20.9999631598531,127.589198030667,13.6358110581829,0.106872770333626,136.026518637,123.0627558345,110.7723175,121.62060021,133.096923249,140.9560727535
"Mgat1",0.000112998467299175,0.0208141303195517,24,9.02355985886722,571.835314647584,63.8265511832262,0.111617015508323,531.3388893675,591.431813595,651.6549944525,597.0230288585,552.131929092,507.43123252
"Smim3",0.000113590530186336,0.0208141303195517,24,23.0000368401469,203.800893307333,69.9466600611809,0.34321076284833,244.842078915,188.662250961,147.9794690125,146.8514628775,207.1773091785,287.2927888995
"Sh3bp5",0.000115319054978635,0.0208141303195517,24,17.6423467136559,1737.14790299717,218.451020006446,0.125752689007968,1653.4293474735,1531.3465511325,1542.6709077925,1774.4561351235,2004.6682437675,1916.3162326935
"Hint1",0.000116095688350693,0.0208141303195517,24,9.07882419885625,150.419416378917,22.45457791458,0.149279783522198,138.770507283,155.1064492035,178.3964345455,161.2310192135,143.193745083,125.818342945
"Ints9",0.000116337634300745,0.0208141303195517,24,19.9999631598531,1293.67204846775,140.578416527811,0.108666193023429,1319.828626668,1246.202041734,1115.23619231,1228.211505945,1413.619239543,1438.9346846065
"Hpd",0.000116963892072164,0.0208141303195517,24,8.05709575785191,401.386910489667,45.7943846844431,0.114090378853104,388.704057735,415.7967498105,457.3833882495,423.2223505335,370.037318589,353.1775980205
"Samhd1",0.000117017584864487,0.0208141303195517,24,19.9999631598531,417.099020794083,77.968981577706,0.186931586243638,428.5287601995,371.5226266245,334.767240176,372.5401665215,481.8300462555,513.4052849875
"Dync2h1",0.000117216284257537,0.0208141303195517,24,16.9151762895535,720.33017699625,176.262371271824,0.244696636210399,694.2280158495,579.610199697,612.339935591,778.742612245,886.546974669,770.513323926
"Lsm11",0.000117232521505972,0.0208141303195517,24,23.0000368401469,262.945814315167,67.9010214661592,0.258231992180614,296.8190580225,265.3778613795,209.009377468,196.039288746,274.215614046,336.213686229
"Adipor1",0.00011847302200596,0.0208141303195517,24,9.06478897830664,484.24256808525,59.8236586423632,0.123540685154783,443.7970722105,505.308630099,552.6972269385,515.0809058115,461.643397008,426.928176444
"n/a_469",0.000119782145903913,0.0208141303195517,24,9.36093296739173,826.178593849834,120.876025598917,0.146307380146051,752.4708814905,853.8208039935,958.863066261,916.2476046455,760.665820356,715.0033863525
"Cbln3",0.000119948465801212,0.0208141303195517,24,3.68401469190059e-05,32.764903542,15.4987588848451,0.473029284672787,53.8322300385,33.658944882,23.3746597245,17.042255831,29.8040346315,38.8772961445
"Prex2",0.0001204701597739,0.0208141303195517,24,13.0744716933165,567.785483810083,251.079880704801,0.442209052299026,380.9987238315,420.2591818035,610.8603515055,861.498642008,655.185781959,477.910221753
"Rasal2",0.000121091872043677,0.0208141303195517,24,17.5005391720729,1421.24127222308,275.899112164962,0.194125457483658,1306.78761231,1173.311162031,1203.6113182975,1431.129267537,1799.044239006,1613.564034157
"Bsdc1",0.000122460638162347,0.0208871925965653,24,9.20046912048365,787.285510361417,125.89383176682,0.159908737186114,702.363289893,832.6397095005,917.2643182085,868.5776232055,740.6661691215,662.2019522395
"Plcl2",0.000124358634483013,0.0209961880368262,24,19.9999631598531,1670.16377588592,182.824057511855,0.109464748398628,1686.7109015145,1578.0271423455,1428.968702709,1612.7418972095,1826.236285368,1888.297726169
"Exoc1",0.000124809391041758,0.0209961880368262,24,20.9999631598531,512.950944668,88.6577648469364,0.172838681297914,549.665903289,507.1979651895,419.15383491,445.977008387,536.288015901,619.4229403315
"Elk1",0.000127304225934766,0.0211159931117509,24,7.7763578996241,278.503371411583,28.0340019584237,0.100659470714248,274.251477492,297.9167032095,309.421991,290.1053521595,251.2912315455,248.033473063
"Fam134c",0.000128275484997387,0.0211159931117509,24,9.07684232137738,609.449456270167,68.3884316837613,0.112213459180518,557.5262039175,622.7749345695,694.622968862,641.3570614625,586.8210935595,553.59447525
