"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"Insig2",5.66990898676067e-12,6.67612906892696e-09,24,23.2260983393522,3999.24583333333,1884.60594633676,0.471240335022356,5825.6,5459.2,5661.2,4388.7,2769.8,2139.4,1934.6,2530.1,3947.7,4001.9,5411,5563.5
"Amdhd1",5.82067727350477e-12,6.67612906892696e-09,24,2.1983360985011,2659.49583333333,754.423659365567,0.283671683147552,3404.6,3277.7,3721.3,3153.8,2590.8,1921.5,2018.4,1904,2054.8,2277.6,2783.5,3166.1
"Avpr1a",6.26021456895387e-12,6.769260182696e-09,24,22.6249615756354,798.416666666667,418.401357376483,0.524038856958333,1335.5,887.2,1048.1,687,498.6,367.1,414.4,403.3,758.9,859.8,1144.2,1046.6
"Ethe1",6.2826410740513e-12,6.769260182696e-09,24,23.378039694021,1216.23333333333,411.009748441331,0.337936592573792,1721.4,1670.2,1631.7,1201.8,998.5,791.3,882.6,875.3,954.7,1113.1,1401.7,1526
"LOC102643159||Rfxank",7.88713538923957e-12,8.24808782058242e-09,24,21.985780359145,557.016666666667,227.347263871889,0.408151636166283,754.2,698.2,598.9,438,388.6,296.7,378.7,479.8,537.4,630.6,680.7,827
"St6galnac6",8.71591687712225e-12,8.85437544237025e-09,24,21.9866916449673,991.816666666667,223.802893933839,0.225649458670627,1106.1,1087.7,1065.1,918.3,748.5,708.1,810.8,874.2,1002.6,1164.5,1143.3,1216.7
"Bhmt2",9.00590713115434e-12,8.89483427653677e-09,24,21.9056184706209,5815.51666666667,784.079304223828,0.134825390273234,6011.4,6153.9,6029.8,5320.3,5123,4870.3,5501.8,5756.5,5914.7,6341.4,6276.7,6715.1
"Tmie",9.84534676007343e-12,9.46111214597759e-09,24,21.8966077563448,358.970833333334,129.719063176669,0.361363796529437,451,396.7,385.1,328.9,229.1,221.4,230.4,310,465.1,413.5,466.8,481.8
"Crip2",1.06090691787131e-11,9.92673851890321e-09,24,22.5946399646736,810.245833333334,326.169166642856,0.402555808650077,1147,882,952.5,767.3,555.5,412.5,515.4,579.6,869.2,835.3,944.6,1194.3
"Ppp1r3c",1.18295373496835e-11,1.07036706165076e-08,24,22.0286545072653,1204.2,868.161743240352,0.720944812523129,2170.9,1280,1167.5,687.7,607.7,328.7,466.3,741,1021.2,1709.2,1637.6,2371.5
"Fpgs",1.20414789250844e-11,1.07036706165076e-08,24,22.4623284446007,1871.85833333333,641.027254935289,0.34245500501834,2304.6,2370.2,2241.2,1698.4,1251.4,1047.3,1409.9,1619.6,2022,1945.2,2327.4,2527.3
"Pnrc2",1.29617427901962e-11,1.12406762597126e-08,24,22.6490716593275,1939.71666666667,449.644918055518,0.231809586308405,2232.6,2190,2328.8,1758.1,1652.3,1330,1467.2,1558.7,1940.7,2183.4,2251.1,2334.3
"4932438A13Rik",1.32842625788498e-11,1.12460771488949e-08,24,22.6823267582772,1035.61666666667,233.805258111301,0.225764286764376,1289.8,1224.8,1091.5,939.4,912.3,743.7,756.4,769.8,1052.7,1155.1,1276.3,1157.4
"Ddhd1",1.56850088472993e-11,1.24541334057187e-08,24,21.9706030947659,894.15,178.471412346385,0.199598962530207,1122.4,927.3,859.9,840.4,739.5,698,763.2,807.9,898.1,1038.9,967.3,1055
"Rnf144a",1.57241997200686e-11,1.24541334057187e-08,24,23.4975908488172,218.8875,42.8960413749956,0.195973006110425,260.3,237.1,253.1,220.5,185.5,183.4,180.9,177.8,184,211.8,253.7,255.5
"Blcap",1.58975055342125e-11,1.24541334057187e-08,24,22.5579011648871,369.0125,86.5919600279571,0.234658609201469,476.6,403.9,377.1,381.5,296.2,222.9,282.3,319.9,378.7,390.7,454.7,423.6
"Homer2",1.61123336894775e-11,1.24541334057187e-08,24,14.5325161693817,585.308333333333,186.258795238124,0.318223378398492,471.2,358.2,396.1,444.4,658.2,588.6,820.3,831.9,796.2,602.8,547.7,488.8
"Slc37a4",1.99592564698037e-11,1.50484569072518e-08,24,13.7382960482959,4674.5625,1081.5121560652,0.231361150068097,3874.7,3662.9,3840.3,4469.2,5081.3,4820.6,5827.2,6281.5,5798.6,4857.8,4067.9,3935.1
"Hsd3b7",2.09486872293496e-11,1.50484569072518e-08,24,2.37438006477855,4228.6625,1138.95870460259,0.269342541430674,5005.1,5427.9,5673.7,5067.9,4273.2,3395.2,3711,2865.9,3501.8,3764.6,4569.1,4707.3
"St5",2.10595985095097e-11,1.50484569072518e-08,24,22.5507506908571,409.641666666667,275.755742637481,0.67316331583493,479.8,614.5,543.4,339.3,198.8,116.1,184.4,175.6,378.3,541.5,732.9,602.8
"Lrp5",2.11616280054727e-11,1.50484569072518e-08,24,23.1606675593349,975.216666666667,254.196030915044,0.26065595431618,1200.3,1186.7,1179.3,1040.5,819.8,697.4,796.4,749.5,924.1,975.1,1177.9,1172.1
