"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"Fam222b",6.63668842548759e-07,2.77943573211586e-05,24,21.9099683910516,462.15,81.4255433718708,0.176188560795999,497.5,443.6,389,407.6,422.7,346.4,398.7,431.2,520.4,539.5,541.9,550.5
"Wdr83os",6.64919315496171e-07,2.78139660962139e-05,24,21.9818417912815,1798.32916666667,378.710779872943,0.210590356255474,2070.4,1982.2,1980.1,1707.5,1320.5,1410.2,1364.5,1745.2,1916.4,2120.8,1770.6,2153.5
"NaN_5615",6.69822789900465e-07,2.79861564250305e-05,24,21.3431262396858,106.091666666667,26.412771778226,0.248961795097566,121.4,114.9,108.1,75.5,85,77,82.1,91,114,137.3,129.2,131.7
"Dnajb2",6.72703981519085e-07,2.80735478484655e-05,24,20.031982827698,639.829166666667,103.824913192546,0.162269741052045,670.8,602,567.1,556.9,579.3,441.5,607.4,673.3,776.9,725.9,762.8,705.3
"Pld1",6.76575050095884e-07,2.82019958748057e-05,24,23.3345510486061,413.145833333333,105.854354238082,0.256215470900507,463.5,466,548.8,397.6,364.7,262.3,327.5,295,391.7,405.8,500,490.9
"NaN_9128",6.77554532702018e-07,2.82097528861276e-05,24,22.6671060740636,8706.22083333334,5063.57860753666,0.581604659986321,12779,11121.7,10236.9,3478.6,3506.2,11382.9,2059.5,4245.7,7527.1,11923.2,12445.1,12908.1
"Palmd",6.83765751130494e-07,2.8435058534732e-05,24,7.4767499361472,1789.95833333333,325.23248133901,0.181698353130572,1655.9,1588.3,1951.5,1903.8,2159.8,2023.1,1965.5,1654.6,1494.6,1476.5,1585.5,1628.5
"G630090E17Rik",6.84760460556433e-07,2.84431576349819e-05,24,22.5615154594066,1001.45833333333,220.035742944766,0.21971532476282,1159.8,1143.4,1178.1,942.4,862.1,489.9,748.6,841.2,1179.1,1195.1,1114,1191.9
"Zkscan3",6.91819854514719e-07,2.86953800009512e-05,24,22.0361526330764,820.129166666667,136.329566450402,0.166229384335275,885.8,855.6,837.2,761.3,766.2,595.4,661.8,702.8,889.5,931.6,911.9,879.3
"Skil",6.9244673306379e-07,2.86953800009512e-05,24,17.953116948323,257.545833333333,45.9589698130063,0.178449673280185,315.1,233.8,213.9,210.3,228.2,205.6,245,261.4,289.4,317.4,274.9,266.7
"Setd1b",6.94609380680333e-07,2.87303973808861e-05,24,8.18193364757155,360.858333333333,71.6275991514971,0.198492296103726,361.8,308.9,396.1,398,441.4,355.3,423.8,362,322,294,296.9,340.5
"Efnb1",6.9490780030268e-07,2.87303973808861e-05,24,21.9487218785978,303.8875,54.2276698953519,0.178446530032831,339.1,316.8,342.6,257.4,268.5,219.1,248.4,289.1,328.8,329.5,365,336.5
"Scnm1",6.96923325826937e-07,2.87758949712208e-05,24,23.4371755143014,570.333333333334,88.5055109235941,0.155182076429446,716,588.1,616.4,571.8,528,356.5,551.4,492,549.8,529.2,595.8,653.2
"Rbms1",6.97626883372493e-07,2.87758949712208e-05,24,5.73755905884175,537.841666666667,131.531244833728,0.244553839885458,506.2,549.4,764.9,665.2,689.7,547.9,577.8,425.1,456.1,415.5,508,445.7
"Irf6",6.99167776008203e-07,2.88060364353971e-05,24,22.8737957066674,949.554166666666,243.675773628027,0.256621246245942,1087.7,1011.2,1158.7,853.1,831.6,660.9,682.6,658.3,967.4,1040.3,1181.1,1147.9
"Oxnad1",7.04284916497322e-07,2.89832806608551e-05,24,21.8483564333605,524.879166666667,104.552089021438,0.199192682166095,599.7,490.4,580.8,407.8,493.7,353.2,462.5,462.3,634.1,627.7,661.5,613.5
"Mrps27",7.07720896775399e-07,2.9091010642481e-05,24,21.985368130077,409.141666666667,95.1224662891431,0.232492737941161,478.2,390.4,464.6,316,384,238.1,348.3,347,451.2,472.6,492.2,495.6
"NaN_9987",7.1211314900399e-07,2.92040312871809e-05,24,9.7735403366096,461.804166666667,103.994311735459,0.225191367341046,378.8,411.9,460.3,536.9,586.1,549.1,509.5,466,422,369.6,395.2,386.9
"Neu2",7.13367428573086e-07,2.9221765311457e-05,24,19.0053497134325,120.554166666667,27.9809831264869,0.232102994862504,118.7,111.6,96.7,102.5,101.3,112.8,92.3,112.7,151.2,136.6,154.1,131.3
"Snap23",7.15074329526999e-07,2.92579779754453e-05,24,21.9988707096149,2680.4375,278.014293076575,0.103719744659808,2846.9,2617.7,2557.3,2487.5,2429.7,2191.6,2396.5,2685.7,2778.1,2951.8,2773.7,2933.7
"Tpgs2",7.18454490122866e-07,2.93624917825387e-05,24,21.8885222592759,409.870833333333,57.6072295110844,0.140549716706079,459.6,399.7,456.1,390.5,380.1,296.8,387.3,383.5,430.1,499.4,458.1,465
"Fem1c",7.23454026019255e-07,2.9470013539577e-05,24,22.0619117965978,889.966666666667,150.386713149436,0.168980163844454,1008.1,871.7,900.6,727.6,816.3,669,838.5,729.8,876.3,1017.7,994.3,1066.9
"Smarce1",7.23723562301437e-07,2.9470013539577e-05,24,22.5923788089312,1169.52916666667,137.861723307617,0.117877969388778,1247.5,1227,1217.7,1111.7,1125.2,934.5,1174.7,1079.6,1152.6,1234.5,1271.3,1340.5
"Ptbp1",7.25229549081163e-07,2.9470013539577e-05,24,3.6886860854912,1788.5,193.734728913011,0.108322465145659,1859.4,1855,2005.6,1909.4,1873.5,1724.8,1769.1,1618.8,1521.4,1646.5,1775.3,1886.2
"NaN_9516",7.27663536981282e-07,2.95351652065142e-05,24,10.4570297540704,1807.81666666667,690.934145103323,0.382192596098419,1277.8,1501,1537.1,1660.8,2643.8,2187.5,3103.9,1721.3,1436.6,1146.5,1361.4,1277.7
"Micu1",7.36243663146396e-07,2.98493496999239e-05,24,1.42493897369715,685.525,125.739532870876,0.183420783882244,844.4,761.1,853.3,759.4,713.4,448.1,646.2,481.9,636.7,706.1,779.3,741.9
"Hist1h3a||Hist1h3b||Hist1h3c||Hist1h3d||Hist1h3e||Hist1h3f||Hist1h3g||Hist1h3h||Hist1h3i||Hist2h3b||Hist2h3c1||Hist2h3c2",7.44452507639437e-07,3.01477828720135e-05,24,20.6099509454461,1009.73333333333,250.75648116732,0.248339311865166,1047.9,938.2,762.9,865.6,801,866.2,801.5,985.2,1096.6,1240.3,1239.5,1272.4
"Rdm1||Rnu2-10",7.46043469002089e-07,3.01778402546511e-05,24,10.3674158660937,3904.37083333333,659.025627910756,0.168791760834899,3764.1,3371.8,3647.5,4001.9,4378.1,4659.9,4328.3,4065.1,3974.6,3335.5,3484.1,3054.9
"Ruvbl1",7.50116597836303e-07,3.02737182209621e-05,24,22.5540267663105,486.245833333333,66.448388712102,0.136655954985942,566.2,492.9,496.3,466.5,427,389.4,442,459.8,514.8,510.3,512.2,555
"Thra",7.66663331819295e-07,3.08201319814584e-05,24,23.7127251661872,437.1625,91.9487146581407,0.210330745793934,545.6,501.1,551.3,390.5,417,326.3,407.9,328.9,370.9,398.2,551.7,519.4
"Rnf167",7.67384793709525e-07,3.08201319814584e-05,24,2.18347087365825,828.645833333333,165.968072069694,0.200288308217356,837.2,1017.7,1066.5,848.6,852.5,604.8,736.6,593.1,720,776.5,907.1,916.5
"Tor3a",7.67989563943416e-07,3.08201319814584e-05,24,21.2653499749879,232.716666666667,72.260602721614,0.31050892811694,310.1,236.8,191.2,180.4,169.5,129.6,192.3,237.1,239,311.6,295.4,300.6
"Zfp652",7.74912626844149e-07,3.1062901195119e-05,24,1.30977147543175,987.845833333334,120.369669048314,0.12185066230643,1163,1104.8,1077.5,990.3,907.6,798,891,837.9,978.7,984.3,978.3,1075
"Lrrc58",7.86871686808688e-07,3.15067676758668e-05,24,18.3988766130217,2640.87083333333,402.980576544687,0.15259382301407,2962.1,2423.3,2146.1,2249,2337.7,2180.7,2501.7,2912,2670.5,3106.1,2977.5,2928.4
"Slc8b1",7.90166703290573e-07,3.16031128258713e-05,24,4.69800230082675,1176.6875,389.531721874645,0.331040927922362,885,1489.1,1860.9,1625.7,1237.8,1145.1,1213.3,727.1,892.3,805.9,1082,1073.7
"Ormdl2",7.95366662975638e-07,3.17418731645149e-05,24,21.9472846602578,673.279166666667,78.8899193627028,0.117172672597726,789.2,665.6,649.2,673,655.1,518.5,627.7,624,704.3,703.7,754.4,722.4
"Oasl1",7.976863152237e-07,3.17614666788885e-05,24,21.7503865971303,447.883333333333,107.410750839634,0.23981859302564,485.3,498.5,537.1,368.8,368.4,287.7,412.6,432.9,495,563.1,547,536.3
"Fam57a",7.97699115318018e-07,3.17614666788885e-05,24,20.0028202992077,335.970833333333,52.5217583295423,0.156328327100445,319.7,321.3,299.7,300.9,307,277.6,326.8,318.5,372.6,378.4,406.4,378.1
"Srm",8.05863486719183e-07,3.20506511563616e-05,24,15.4546061909668,1720.3875,501.513098055735,0.291511707714532,1748.2,1161.2,955.1,1181.7,1686.9,1701.3,2189.3,2626.4,2224.1,1978.8,1678.8,1585.8
"Npc1",8.14721136555008e-07,3.23667315434077e-05,24,9.33048079724715,3512.7125,868.218269909008,0.247164625601727,2798.8,2952.6,3893.6,3784.2,4584.6,4274.3,4373.5,3202.5,3629.1,2815.5,2973.2,2690
"NaN_577",8.25826150574471e-07,3.27347543030389e-05,24,17.2743043043249,2394.275,412.786277704858,0.172405541428975,2373.1,2116.7,2199.7,2111.1,2103.8,1870.5,2721.3,2766,2877.9,2710.2,2738.3,2588.8
"Spryd7",8.27006283010689e-07,3.27450282836616e-05,24,22.0048911523817,986.529166666667,128.306155798152,0.130058147425766,1081.2,973.7,963.8,851.8,879.1,816.3,952.5,857,1016.2,1181.4,1163.8,1086.8
"Slc10a2",8.30073764501726e-07,3.28299252176011e-05,24,17.1350289510144,535.55,165.743804620837,0.309483343517574,500.2,462.8,329.2,476,482.6,446,611.4,587.3,618.6,831.3,746.4,549.7
"Fam47e",8.50089825865652e-07,3.33826826958626e-05,24,16.5771027877141,676.833333333334,199.150491368974,0.294238598427442,544.7,398.7,401.4,567,659.6,597.4,769.2,845.7,930.4,943,799.1,719.6
"Def8",8.50629146009751e-07,3.33826826958626e-05,24,21.9577104761418,485.491666666667,82.3273423732364,0.169575191554753,535.6,499.9,517.8,444.4,437.7,340.1,445.4,436.2,531.7,471.1,586.8,595.3
"NaN_10828",8.52020074826321e-07,3.33826826958626e-05,24,22.7503445133629,1996.41666666667,1966.30123963395,0.984915259657196,3293.7,2459.9,1465.6,383,300.9,1816.2,185.3,538.4,592.2,2358.2,3293.7,4348.5
"Gas7",8.53727142868799e-07,3.33826826958626e-05,24,1.4287051772034,291.15,85.3150319515351,0.293027758720711,340.1,390.6,530.2,334.9,277.9,198.9,228.8,206.3,238.1,264.2,352.6,304.2
"Ahcyl2",8.53951237056449e-07,3.33826826958626e-05,24,21.0437930202815,1211.32083333333,398.643544909985,0.329098232227205,1342.2,1141.8,990.8,938,878.9,655.5,970,1337.2,1335.7,2306.5,1575.1,1462.2
"Slc17a8",8.54377355530289e-07,3.33826826958626e-05,24,20.3205417227482,335.095833333333,98.7885151694231,0.294806754792305,358,331.1,230.3,208.3,247,259.3,341.4,293.8,376.4,436.2,418,320.9
"NaN_8461",8.63357740965576e-07,3.36965398877849e-05,24,10.24678557379,216.616666666667,62.6046806033837,0.289011374640534,168.8,166.5,214.5,248.6,282.7,240.4,259.1,226.1,173.8,158.6,184.4,158.8
"Bet1",8.65813339023802e-07,3.37553279411516e-05,24,21.4991838133795,1142.87916666667,214.820926132209,0.187964688129506,1319.3,1203.4,1131.3,984.9,1013.4,773.5,960.8,960.9,1266.7,1361.1,1449.8,1297.2
"Btg1",8.71246447320395e-07,3.39299437907163e-05,24,22.7296815304045,1479.65416666667,314.104602090466,0.212282443537515,1798.8,1684.6,1783,1402.5,1175.4,1033.5,1193.5,1081.8,1465.4,1581.4,2005,1521.7
"Antxr2",8.73484352403864e-07,3.39333659532678e-05,24,21.9147380158611,1290.3125,216.174185727565,0.167536302816228,1220.3,1281.3,1346.2,1230.5,1044.7,967,1135.9,1186.1,1451.1,1615.4,1594.1,1543.3
"3110040N11Rik",8.74183295751507e-07,3.39333659532678e-05,24,21.9445637422624,349.3,42.8464138989439,0.122663652731016,384,376.8,371.5,325.7,334.3,247.7,352.3,327.7,376.6,382.8,387.3,378.8
"Clstn3",8.84976032899942e-07,3.42806637767128e-05,24,21.2576405763012,101.55,17.0166210058839,0.167568892229285,108.6,112.1,98.9,95.6,85.6,76.9,96.6,94.8,102,122.4,137.8,109.4
"Snora74a",8.85072824474697e-07,3.42806637767128e-05,24,10.4392176307,259.383333333333,45.6542928328175,0.176010895712205,229.4,204.7,248.9,270.2,305.1,299.4,348,266.9,220.5,211.3,222.7,228.3
"Tuba4a",8.90507752426828e-07,3.44536383517827e-05,24,21.8964230324225,2913.34583333333,541.851641924774,0.18598946809717,3546.3,3149,3310.2,2731.3,2611.7,1967.4,2496.7,2674.2,3057.4,3072.7,3450.5,3223.2
"Klhl7",8.96854465359809e-07,3.46238407929787e-05,24,21.8549914473393,373.120833333333,51.4728788797299,0.137952304672695,411.1,376.9,386.8,304,307.8,291.9,372.1,353.7,411.7,444.3,417,435.6
"Paqr9",9.10395326902957e-07,3.5033852664661e-05,24,22.6297881224336,3243.88333333333,700.736784727285,0.216017875096397,3427.6,3650.5,3016.8,2882.7,2856.6,2790.5,2317.7,2461.3,2864.5,3807.7,3625.1,3960
"Shank2",9.11032817185742e-07,3.5033852664661e-05,24,21.9439413911173,717.0875,216.305359014796,0.301644302842814,1135.5,769.2,853.8,544.4,506.9,400.4,536.6,554.7,900.4,716.5,931.5,813.5
"Hfe",9.11416180526814e-07,3.5033852664661e-05,24,21.9974613647217,799.737500000001,93.1919337916928,0.116528153039832,836,851.2,787.9,755.3,749.6,592.6,705.4,764.5,837,893.9,883.1,925.9
"Ahsa2",9.15348326135934e-07,3.514700333055e-05,24,18.4109561429582,780.541666666667,144.072383450088,0.184580003352486,804.8,626.1,654.9,596.2,708,599.2,689.2,880.1,1009.8,936,899.7,858.1
"Slc35b4",9.21398192299527e-07,3.52883757147857e-05,24,18.5419342593569,858.4625,165.284244242271,0.192535194306415,973.5,763.7,711,651.6,781.4,620.4,839.4,955.4,1075.7,1023.1,976.5,891.9
"NaN_1191",9.22007566628302e-07,3.52883757147857e-05,24,21.9348129941936,604.825,199.411372372184,0.329700942210035,625.6,534.9,627.4,453.9,445.4,326.5,475.5,497.3,702.8,856.4,846.1,657.3
"Mia3",9.26062436734654e-07,3.54054580650939e-05,24,10.4359878658986,2319.82916666667,324.821740636159,0.140019681321143,2272.2,2186.3,2134.5,2359.4,2654.1,2535.4,2626.1,2367.2,2312.7,2153.1,2142.4,1905.5
"NaN_4293",9.29776644231772e-07,3.55092785846454e-05,24,22.5135991676972,1988.57916666667,268.558079696459,0.1350502329493,2367.1,1842.8,2109.2,1800,1872.8,1550.8,1725.5,1818.4,2024,2293.4,2341.3,2411.8
"Dusp12||LOC102643029",9.37166906300746e-07,3.57097427283342e-05,24,21.9080407456497,341.429166666667,55.0553475043119,0.161249690651244,407.2,355.3,381.3,262.4,332.8,227.8,316.4,328.8,386.9,374.8,365.7,393
"Nupl2",9.37661649658139e-07,3.57097427283342e-05,24,22.0209460509464,236.641666666667,38.5009848402581,0.162697403980384,273.8,266,246.9,185.7,232.3,168.4,222.9,202.3,226,259.3,243.2,298.4
"NaN_6159",9.38038578812694e-07,3.57097427283342e-05,24,22.5900549174112,1921.475,383.651155538723,0.199664921759962,2120.6,1991.4,2030.6,1569.6,1688.1,1454.9,1569.4,1688.5,1922.4,2437.5,2124.6,2290.7
"Zc3h12d",9.39193234850144e-07,3.57154595276275e-05,24,0.132389163327749,195.483333333333,29.7815584017967,0.152348325015585,201,218.2,282.1,214.2,180.1,163.1,156.4,178.8,179.8,187.6,202.2,205.6
"6230416C02Rik||Etohi1||Gm14306||Gm14325||Gm14326||Gm14391||Gm14399||Gm14403||Gm14419||Gm14420||Gm14430||Gm14431||Gm14436||Gm6710||Gm8898||LOC628147||Zfp931",9.44783728029641e-07,3.58896690532286e-05,24,15.3650684175966,2267.875,314.953982809901,0.138876253237017,2079.7,1715,1688,2312.7,2227,2561.2,2480.5,2561,2508.6,2521,2440.4,2204.9
"Arhgef18",9.55699327009896e-07,3.6237484296127e-05,24,21.9540297914202,294.208333333333,38.4940455484905,0.130839412712615,329.7,305.1,290.4,262.9,253.8,225.6,296.3,269.7,295.7,313.3,320.7,345.1
"Gna12",9.5609014028053e-07,3.6237484296127e-05,24,10.0623811557351,3067.64166666667,390.112446345571,0.127170148516555,2806.4,2786.4,2880.5,3142.7,3480.3,3541.4,3489,3028.7,3337.3,2667.5,2810.8,2767.3
"Extl1",9.56997349366162e-07,3.6237484296127e-05,24,20.4216411446809,187.008333333333,31.6223736413529,0.169096066884824,170.5,186.4,186.3,159.4,152.5,148.5,187,181.8,201.1,227.4,232.9,196.1
"S1pr1",9.66161756266182e-07,3.65455823465961e-05,24,21.8487979009292,1539.89583333333,384.951322483621,0.249985300401999,2030.5,1604.7,1482.4,1293.5,1301.8,924.5,1197.8,1533,1712.5,1938.3,1761,1799.1
"Dcun1d4",9.82237020163979e-07,3.70941023687222e-05,24,7.7561056125129,751.925,181.103914919343,0.240853695407578,807.3,715.4,788.1,908.9,958.5,747.5,804,689.7,705.8,667.5,560.5,554.3
"Glyctk",9.82749590261456e-07,3.70941023687222e-05,24,16.6773990220483,2480.225,288.661932875332,0.11638538151794,2595.3,2157,2158.5,2267,2345.8,2295.2,2484.2,2731.3,2885.9,2576.3,2683.3,2549.5
"Acmsd",9.94576461965657e-07,3.7500700616809e-05,24,20.2929483674478,900.341666666667,423.033418494319,0.469858759353563,870,676.5,978.6,649.9,576.1,345.7,755.7,1146.8,1331.2,1639.2,1502.9,1270.1
"Cmpk2",1.00164308469708e-06,3.76872185391422e-05,24,0.191263796603151,124.429166666667,27.170819905987,0.218363753723232,179.3,134,198.5,134.9,109.6,90.1,97.4,87.7,106.6,121.9,135.6,132.7
"Myo1b",1.00959291671199e-06,3.79461794361643e-05,24,22.3543752709828,2390,270.660511386668,0.113247075894003,2722.8,2582.9,2761.4,2373,2156.2,1961.3,2368.5,2340.2,2572.6,2511.9,2626.4,2547.4
"Naaladl2",1.01337458979778e-06,3.80480960030093e-05,24,11.2752297827769,539.125,140.21382903246,0.260076659462016,489.2,443.1,448.2,473.9,633.1,570.5,703.6,662.4,670.2,500.8,421,397.5
"Nucks1",1.0262032515973e-06,3.84891168921874e-05,24,16.6243203661778,1649.22083333333,170.094210509331,0.103136103468657,1614.4,1516.3,1528.9,1465.6,1532.2,1393.7,1674.8,1860.8,1938.3,1817.9,1664.5,1589.2
"Lad1",1.04093973773978e-06,3.90006884247371e-05,24,20.1486339947486,149.045833333333,34.224659540247,0.229625067503264,200.5,139.7,145.4,125.9,119.2,105.9,138.3,172.2,173.2,181,186.3,204.3
"Mpi",1.04744913309585e-06,3.92032646066904e-05,24,20.4617386062817,756.791666666667,120.877261545248,0.159723298854041,777.7,726,695.4,652.7,689.9,496.1,756,791,864.9,849.5,925.4,871.8
"Pet112",1.04970486813905e-06,3.92245559894017e-05,24,23.0078027659273,606.358333333334,83.8272797439889,0.138247097690841,657.7,656.5,674,529.6,543,488.6,602.9,536.8,647.6,653.1,694.9,704.9
"Vps37b",1.05022435881175e-06,3.92245559894017e-05,24,20.6525964676708,312.691666666667,59.9040212040416,0.191575368293713,322.5,330.7,291.8,251.1,256.2,219.2,282.5,321,362,367.4,337.9,375.5
"Gpr137",1.05341230838274e-06,3.93023379190521e-05,24,21.9992819129379,418.5125,56.5516441691071,0.135125340746351,463,453.3,387.9,397.8,380.3,322.1,392.9,382.8,449.3,451.1,472,470.4
"Cbr1",1.06715700576299e-06,3.96902034486493e-05,24,17.5799276052729,1191.1625,210.160811123167,0.176433367507092,1259.7,1043.2,1003.5,997.1,1099.1,1038.9,1014.9,1203.7,1331,1338.2,1336.5,1272
"Nutf2||Nutf2-ps1",1.070982307394e-06,3.97493182898757e-05,24,21.9764653675226,1932.85833333333,253.530483317028,0.13116868367678,2013.1,1869,1756.6,1742.3,1855.2,1421,1720.7,2008.8,1973.7,2162.8,2166.1,2232.3
"Tmem184a",1.08053105163375e-06,4.0020168824885e-05,24,2.82926439076705,594.716666666667,154.143924501866,0.259188842589242,551.5,744,844,672.1,642.5,465.1,561.9,367.4,487.8,568.4,571.9,718.7
"NaN_6518",1.08214914862348e-06,4.00383924333574e-05,24,22.5222166662149,604.5375,106.141806545118,0.175575223282456,618.5,620,677.6,548.6,539.2,473.3,514,564.2,602.6,651.5,647.6,784.6
"Elovl1",1.08363594653049e-06,4.00517252752996e-05,24,20.6137044993325,2218.09166666667,387.674180997678,0.174778250522113,2199.2,2151.4,2076.9,1937.4,1798.9,1845,1991.8,2383.9,2527.8,2669.4,2682.4,2554.6
"Abhd17b",1.10712223799769e-06,4.08428756795184e-05,24,11.147162455096,766.020833333334,171.064676118247,0.223315957836108,651.3,587.9,664.4,737.5,934.5,847.2,1214,705.7,737.5,694.2,673,608.8
"Dexi",1.10733862512813e-06,4.08428756795184e-05,24,20.2416000474988,1082.84583333333,244.559538112022,0.225848897953638,1288.8,1022.4,966.1,937.5,863.9,707.3,1038.1,1175.9,1372.9,1332.2,1332.8,1186.9
"Pgrmc2",1.10914710738097e-06,4.08671860622153e-05,24,23.1245582047527,672.629166666667,96.8885737195389,0.144044562027673,789.9,778.5,756.9,672.3,623.8,471.3,607.2,551,685.4,762.5,807.6,745.4
"NaN_10832",1.11170597194565e-06,4.09190657748444e-05,24,23.2271025213126,2006.64583333333,2033.43643543201,1.01335093699827,3775.3,2332.5,1702.9,166.4,197.9,1519.9,39.4,210.3,713.3,2823.9,3781.1,3717.4
"Ces1d",1.11286807780164e-06,4.0919480221629e-05,24,17.6954075097907,6894.99166666667,717.794700381699,0.104103780698072,6809.3,6666.8,5970.7,5454,6259.7,6586,6472.4,6828.7,7520.9,7209,7307.1,7167.2
"Ndufb3",1.11452334528028e-06,4.09380083313902e-05,24,21.9314198533638,273.908333333333,41.4603213464531,0.151365680780504,283,281.9,281.2,266.6,237.8,188.7,242.5,263.8,343.1,279.2,313.8,319.6
"Rnd2",1.13839246751457e-06,4.1617134141981e-05,24,20.3101375995156,558.329166666667,108.531314635651,0.194385894764559,549.2,505.7,492.4,469.2,432.6,465.2,533.2,594.5,626.6,703.5,716.7,651.5
"Tubg1",1.13886465069601e-06,4.1617134141981e-05,24,19.7541840488473,1482.1625,255.216631123133,0.172192071465263,1542,1309.2,1355.6,1287.1,1218.1,1189,1457.3,1577.6,1678.9,1720.8,1737.2,1638.5
"Zhx2",1.14151198160606e-06,4.16710472463912e-05,24,17.6558309593574,461.341666666667,59.976758770311,0.130005076722554,489.3,417.8,456.5,363.7,426.8,346.1,485.4,483.8,527.8,503.6,526.6,436.5
"Dtymk",1.15544958489977e-06,4.20934072138281e-05,24,22.4155889747601,678.741666666667,96.1223755961596,0.141618498343002,807.5,663.8,745.2,644.2,670.4,506.5,604.3,682.3,721,741.9,720.4,814.8
"Manbal",1.16016232920568e-06,4.22218339582776e-05,24,23.7662134699982,392.991666666667,43.6539834762125,0.111081193773097,411,447,488.4,386.2,364.9,329.4,379.6,366.2,372.8,399.2,397.6,435.8
"Tecpr2",1.16593914978314e-06,4.23886834454899e-05,24,21.8599190680957,278.2875,46.9064462539843,0.16855391008933,346.7,305.5,256.3,249.4,253.7,215.7,260.1,259.6,294.7,309.9,338.2,321.5
"Neu3",1.17609604255442e-06,4.27142705710571e-05,24,21.7758752622289,108.8,16.8812344750149,0.15515840510124,110.8,110.5,98.1,111.1,96.6,82,105.8,103.6,100.7,130.1,135,130.3
"Enpp3",1.19846240220767e-06,4.34821726254039e-05,24,2.33889666539415,3829.2875,786.513905705306,0.205394320929234,3916.6,4370.2,4841.7,4307.7,3853.9,3326.3,2912.4,2456.7,3157.8,3761.7,4369.6,4126.7
"NaN_4656",1.20214869436808e-06,4.35714566533653e-05,24,22.0808791648384,578.158333333334,191.622313306563,0.331435702399683,676.8,706.6,601.3,397.7,505.7,251,446.2,463.3,570.7,745.1,666.9,687.4
"Smarca2",1.23030283061265e-06,4.44760759166977e-05,24,15.328994088152,2026.56666666667,237.807493441647,0.117345013787677,1783,1767.6,1813.3,1698.4,1997.8,1984.4,2344.2,2294.9,2264.5,2156.2,2000.3,1815.8
"Gp49a",1.23086001524442e-06,4.44760759166977e-05,24,3.81873863998855,142.891666666667,21.5106369762576,0.150538078798094,160.7,171.3,173,154.5,138.4,137.1,132.6,115.5,121.3,124.8,140.3,140.8
"Hist1h2bc",1.24005717683229e-06,4.47531713992451e-05,24,22.2199657389913,6694.22916666667,682.823386439197,0.10200179429758,7079.3,6876.6,6688.1,6270.6,6458.5,5551.6,6036.5,5765.3,6700.2,7170.1,7526.6,7298.5
"Nomo1",1.24104587129192e-06,4.47531713992451e-05,24,16.0057327791112,902.945833333334,108.093425838686,0.119711971469701,890.8,776.2,817.4,829,885.4,846.4,930.6,988.1,1051.1,950.5,987.6,902
"Sdc1",1.25610421908284e-06,4.52502954546196e-05,24,21.7855593064591,2038.35833333333,359.671087582865,0.176451353867057,2129.6,2235.8,2046.4,1947.2,1696,1592.6,1644.4,1981.9,2282,2178.9,2480.5,2475.6
"Gucd1",1.26002812628201e-06,4.53457085608129e-05,24,22.0376166353291,1868.07083333333,224.0876454611,0.119956717626839,2117.9,1826.8,1913.5,1788.6,1702.4,1424.9,1723.6,1554.8,2033.7,1841.4,2143.8,2004.7
"NaN_7733",1.27006747308034e-06,4.56486902710586e-05,24,10.446540518253,1643.87083333333,581.138658077727,0.353518443355633,1180.5,1385.8,1373.2,1535.9,2402.3,1992.3,2715.8,1535.4,1334.6,1068.4,1250.8,1221.9
"Rgs16",1.27101483204939e-06,4.56486902710586e-05,24,9.3634205428343,606.754166666667,584.970965731694,0.964098802889738,181.8,235.8,488.2,335.5,1486.2,934.8,1250.7,469.7,222.7,194.3,168,157.4
"Rps9",1.27383831238781e-06,4.57039304089414e-05,24,10.8761558236476,1666.50833333333,200.407927075768,0.120256180582616,1595.1,1545.7,1641.6,1656.1,1828.8,1827.8,1949,1675,1714.9,1512.8,1581.7,1410.5
"Mov10",1.27668373117729e-06,4.57598455098181e-05,24,6.25298302197475,922.204166666667,166.363642882912,0.180397843445273,868.3,900.7,1139.6,1211.1,1125.5,929,1091.1,847.9,802.9,745.7,828.4,862.8
"Appl1",1.29231084877723e-06,4.62733177634676e-05,24,0.127731327253,335.225,55.2747299483368,0.16488844790316,398.8,371.4,428.4,287.3,334.1,257.1,312.5,270.2,333.7,336.7,342.7,366.4
"NaN_10886",1.30812819898463e-06,4.67455339126607e-05,24,21.1253937709935,106.891666666667,11.6650927253972,0.109130048105376,111.2,111.1,103,96.9,98.6,89.4,106.3,106.3,116.9,122.5,128.9,111.1
"Slc31a2",1.33341672381437e-06,4.76013705139999e-05,24,22.748124395755,570.004166666667,90.7762223473147,0.159255366286471,633.1,599.9,599.2,578,466.3,447.1,450.4,469.1,534.8,604,601,602
"Nags",1.34721115729874e-06,4.80023516342834e-05,24,20.7961593952015,1370.55,178.46035065681,0.130210755285695,1489.4,1382.5,1352.2,1259.7,1214.3,1124.9,1329.6,1365.4,1476.8,1520.6,1460.1,1571.3
"Slc22a23",1.34734916557022e-06,4.80023516342834e-05,24,11.0436696730984,2037.19166666667,273.701456969226,0.134352334857656,1918.1,1807,1895.9,2133.2,2530.1,2027.6,2306.5,2113.6,2144.7,1898.4,1931.6,1717.5
